detention_facility_code,detention_facility_name,state
AAORDMD,Ordnance Road Correctional Center,MD
ABQHOLD,Albuquerque Hold Room,NM
ABRXSPA,Abraxas Academy Detention Center,PA
ABTHOLD,Abilene Hold Room,TX
ADACOID,Ada County Jail,ID
ADAIRKY,Adair County Regional Jail,KY
ADAMSCO,Adams County Jail,CO
ADAMSMS,Adams County Det Center,MS
ADAMSWA,Adams County,WA
ADDCOVT,Addison County Jail,VT
ADLNTCA,Adelanto ICE Processing Center,CA
AFRC,Artesia Family Residential Center,NM
AGAHOLD,Agana INS,GU
AGC,Aguadilla SPC,PR
AGMDCCA,Anaheim Global Medical Center,CA
AIRHOPR,"Airport Hotel, Saj.",PR
AKCOOKI,"Cook Inlet Pretrial, Anch",AK
AKFAIRB,Fairbanks Corr Ctr,AK
AKHIGHL,Highland Mtn Cor Ctr,AK
AKKETCH,Ketchikan Regional CC,AK
AKLEMON,"Lemon Creek, Juneau,AK",AK
AKMATSU,"Matsu Pretrial, Palmer AK",AK
AKMCYOU,McLaughlin Youth Center,AK
AKPALMC,Palmer Correctional Cente,AK
AKPSYNJ,Anne Klein Phsychiatric Institute,NJ
AKWILCC,Wildwood State Corr. Ctr.,AK
AKWILPT,Wildwood Pre-Trial Fac.,AK
ALAMCNC,Alamance Co. Det. Facility,NC
ALAMOCO,Alamosa County Jail,CO
ALAMOTX,Alamo Police Dept.,TX
ALBCONY,Albany County Jail,NY
ALBEMVA,Albemarle-Charlottesville,VA
ALBHOLD,Albany Holdroom,NY
ALEXAAL,Alexandria City Jail,VA
ALEXAVA,Alexandria City Jail,VA
ALHAMCA,Alhambra City Jail,CA
ALLEGNY,Allegany County Jail,NY
ALLEGPA,Allegheny Co. Jail,PA
ALLENIN,Allen County Jail,IN
ALMHOLD,Alamosa Holdroom,CO
AMTHOLD,Amarillo Hold Room,TX
ANCHOAK,Anchorage Jail,AK
ANDRWTX,Andrews Sherrif's Office Co Jail,TX
ANJUVMN,Anoka Co. Juvenile Center,MN
APACHAZ,Apache Co. Jail,AZ
APIBHCA,Alvarado Parkway Institute,CA
APPSCLA,Allen Parish Public Safety Complex,LA
ARAPACO,Arapahoe County Jail,CO
ARLCOVA,Arlington Co Jail,VA
AROOSME,Aroostook County Jail,ME
ARRMCCA,Arrowhead Regional Med Center,CA
ARTESNM,Artesia City Jail,NM
ARTSINM,Artesia Law Enforcement Center,NM
ASHECNC,Ashe County Jail,NC
ASHRSFL,Atlantic Shores Hospital,FL
ATLANGA,Atlanta Pretrial Detn Ctr,GA
ATLHOLD,Atlanta Dist. Hold Rm,GA
ATTHOLD,"Athens, TX Hold Room",TX
AURORCO,Aurora City Jail,CO
AUSHOLD,Austin DRO Hold Room,TX
AVPARLA,Avoyelles Parish Prison,LA
AZDCTUC,AZ Dpt Corrections Tucson,AZ
AZSPFLO,Arizona State Prison Comp,AZ
AZSPPER,Perryville State Prison,AZ
AZSVCPC,Arizona Service Prison Complex,AZ
BAILECA,George Bailey Detent Faci,CA
BAKERFL,Baker County Sheriff Dept.,FL
BALDWAL,Baldwin County Cor. Center,AL
BALHOLD,Bal D D & P,MD
BANNOID,Bannock County Jail,ID
BARNSMA,Barnstable County,MA
BARRECA,Barrett Honor Camp,CA
BASILLA,Basile Detention Center,LA
BAYAMPR,Bayamon Hospital,PR
BEAVRPA,Beaver County Jail,PA
BEDCITX,Bedford City Jail,TX
BEDFOOH,Bedford Heights City,OH
BEDFOPA,Bedford County Jail,PA
BEFAMPA,Berks County Family Shelter,PA
BEHOSNY,"Bellevue Hospital, Manhat",NY
BEJUVPA,Berks Co. Juvenile,PA
BENTOWA,Benton County,WA
BERGENJ,Bergen County Jail,NJ
BERKSPA,"Berks County Jail, PA",PA
BERNANM,Bernalillo County Det Ctr,NM
BESECPA,Berks County Secured Juvenile,PA
BFGHITX,"Byrd's Foster Group Home, Inc",TX
BHCALCA,Alhambra BHC Hospital,CA
BHFLDMI,Bronson Hospital Fieldstone Center,MI
BHMHOLD,Birmingham Hold Room,AL
BIGHOMT,"Big Horn County Jail, MT",MT
BIGHOWY,"Big Horn County Jail, WY",WY
BILHOLD,Billings Hold Room,MT
BKLHOLD,Bakerfield Hold,CA
BLBNATX,Bluebonnet Det Fclty,TX
BLHHOLD,Bellingham BPS ERO Holdroom,WA
BLOUNTN,Blount County Justice Ctr,TN
BOEHOLD,Elp Boeing Dr Holdroom,TX
BOIHOLD,Boise Hold Room,ID
BONNEID,Bonneville Co. Jail,ID
BOONEKY,Boone County Jail,KY
BOPALM,Allenwood (Med) FCI,PA
BOPBRO,Brooklyn MDC,NY
BOPBUT,Butner Fed.Corr.Inst.,NC
BOPCAA,USP Canaan,PA
BOPCNV,Nashville Comm. Corr.,TN
BOPCUM,Cumberland FCI,MD
BOPDAL,Dalby Correctional Institute,TX
BOPFAI,Fairton FCI,NJ
BOPGIL,FCI Gilmer,WV
BOPGUA,Guaynabo MDC (San Juan),PR
BOPHON,Honolulu Federal Detention Center,HI
BOPLEX,Lexinton Fed.Med Center,KY
BOPLOF,Lompoc FCI,CA
BOPLOM,Lompoc USP,CA
BOPLOS,Los Angeles Met.Det.Ctr.,CA
BOPLTL,"La Tuna Federal Sattelite, Low",TX
BOPMAR,Marion USP,IL
BOPMCR,Mccreary USP,KY
BOPMEM,Memphis Fed.Corr.Inst.,TN
BOPMIA,Miami FCI (Former MCC),FL
BOPMIM,Miami Fed.Det.Center,FL
BOPMRG,Morgantown Fed.Corr.Inst.,WV
BOPNEO,Northeast Ohio Correctional Center,OH
BOPOAD,Oakdale Fed.Det.Center,LA
